Team,Year,Name,QBR,Predicted_QBR,QBR_over_Pred,RTG,Predicted_RTG,RTG_over_Pred
BAL,2024,Lamar Jackson,74.8,68.91,5.89,119.6,103.2,16.4
BUF,2024,Josh Allen,74.8,61.93,12.87,101.4,94.66,6.74
CIN,2024,Joe Burrow,72.1,52.78,19.32,108.5,89.82,18.68
GB,2024,Jordan Love,66.3,61.39,4.91,96.7,97.79,-1.09
DET,2024,Jared Goff,65.4,65.23,0.17,111.8,100.49,11.31
SF,2024,Brock Purdy,64.8,61.86,2.94,96.1,98.8,-2.7
KC,2024,Patrick Mahomes,64.6,54.4,10.2,93.5,89.68,3.82
ARI,2024,Kyler Murray,63.4,57.96,5.44,93.5,93.07,0.43
PHI,2024,Jalen Hurts,62.5,69.46,-6.96,103.7,103.59,0.11
LAC,2024,Justin Herbert,61.7,56.35,5.35,101.7,93.55,8.15
LAR,2024,Matthew Stafford,61.5,53.08,8.42,93.7,88.73,4.97
TB,2024,Baker Mayfield,58.4,63.58,-5.18,106.8,97.69,9.11
MIN,2024,Sam Darnold,57.3,57.29,0.01,102.5,95.57,6.93
MIA,2024,Tua Tagovailoa,57.1,44.75,12.35,101.4,86.64,14.76
JAX,2024,Trevor Lawrence,56.1,52.41,3.69,85.2,88.2,-3.0
NE,2024,Drake Maye,55.2,46.16,9.04,88.1,85.7,2.4
DEN,2024,Bo Nix,53.5,59.78,-6.28,93.3,96.56,-3.26
CLE,2024,Jameis Winston,52.2,50.41,1.79,80.6,87.56,-6.96
CAR,2024,Bryce Young,50.7,52.08,-1.38,82.2,86.92,-4.72
SEA,2024,Geno Smith,50.4,52.19,-1.79,93.2,90.57,2.63
PIT,2024,Russell Wilson,47.9,53.84,-5.94,95.6,91.68,3.92
ATL,2024,Kirk Cousins,47.0,60.23,-13.23,88.6,95.7,-7.1
HOU,2024,C.J. Stroud,46.4,52.0,-5.6,87.0,89.48,-2.48
NYJ,2024,Aaron Rodgers,44.7,50.38,-5.68,90.5,86.97,3.53
NYG,2024,Daniel Jones,44.4,51.86,-7.46,79.4,89.12,-9.72
IND,2024,Anthony Richardson Sr.,44.1,58.44,-14.34,61.6,95.84,-34.24
CHI,2024,Caleb Williams,43.3,51.62,-8.32,87.8,90.49,-2.69
DAL,2024,Dak Prescott,41.9,50.51,-8.61,86.0,87.96,-1.96
DAL,2024,Cooper Rush,37.7,50.51,-12.81,83.8,87.96,-4.16
LV,2024,Gardner Minshew,35.0,41.0,-6.0,81.0,82.57,-1.57
TEN,2024,Will Levis,25.2,47.7,-22.5,81.4,86.62,-5.22
SF,2023,Brock Purdy,73.4,63.27,10.13,113.0,96.92,16.08
DAL,2023,Dak Prescott,73.4,57.94,15.46,105.9,95.61,10.29
BUF,2023,Josh Allen,70.3,62.67,7.63,92.2,97.09,-4.89
BAL,2023,Lamar Jackson,65.4,65.7,-0.3,102.7,101.67,1.03
LAC,2023,Justin Herbert,64.8,47.58,17.22,93.2,89.26,3.94
LAR,2023,Matthew Stafford,64.2,59.72,4.48,92.5,95.17,-2.67
MIN,2023,Kirk Cousins,64.0,53.41,10.59,103.8,92.26,11.54
KC,2023,Patrick Mahomes,63.9,55.68,8.22,92.6,93.6,-1.0
GB,2023,Jordan Love,62.9,59.52,3.38,96.1,96.38,-0.28
MIA,2023,Tua Tagovailoa,61.5,59.88,1.62,101.1,94.97,6.13
DET,2023,Jared Goff,61.1,61.38,-0.28,97.9,96.2,1.7
PHI,2023,Jalen Hurts,60.9,67.35,-6.45,89.1,102.2,-13.1
IND,2023,Gardner Minshew,60.4,52.12,8.28,84.6,89.92,-5.32
SEA,2023,Geno Smith,60.3,61.04,-0.74,92.1,99.7,-7.6
HOU,2023,C.J. Stroud,58.3,52.12,6.18,100.8,91.68,9.12
NO,2023,Derek Carr,57.3,50.34,6.96,97.7,89.01,8.69
JAX,2023,Trevor Lawrence,56.9,46.48,10.42,88.5,87.42,1.08
TB,2023,Baker Mayfield,55.1,49.93,5.17,94.6,89.32,5.28
MIN,2023,Joshua Dobbs,52.7,53.41,-0.71,79.5,92.26,-12.76
CIN,2023,Joe Burrow,52.4,52.69,-0.29,91.0,90.51,0.49
DEN,2023,Russell Wilson,51.5,58.29,-6.79,98.0,95.06,2.94
ARI,2023,Kyler Murray,48.0,57.17,-9.17,89.4,91.86,-2.46
CHI,2023,Justin Fields,46.9,62.37,-15.47,86.3,99.04,-12.74
LV,2023,Aidan O'Connell,41.3,49.8,-8.5,83.9,88.34,-4.44
ATL,2023,Desmond Ridder,40.8,49.56,-8.76,83.4,89.62,-6.22
PIT,2023,Kenny Pickett,38.9,60.27,-21.37,81.4,97.82,-16.42
NE,2023,Mac Jones,37.5,46.08,-8.58,77.0,83.78,-6.78
CAR,2023,Bryce Young,34.1,46.16,-12.06,73.7,85.18,-11.48
NYJ,2023,Zach Wilson,31.3,46.31,-15.01,77.2,86.72,-9.52
KC,2022,Patrick Mahomes,79.0,61.56,17.44,105.2,96.29,8.91
BUF,2022,Josh Allen,73.4,59.15,14.25,96.6,95.76,0.84
MIA,2022,Tua Tagovailoa,70.6,58.51,12.09,105.5,94.11,11.39
