Team,2024,2023,2022,2021,2020
ARI,31.67%,30.00%,39.95%,35.87%,37.79%
ATL,31.85%,31.25%,31.30%,31.20%,42.75%
BAL,31.89%,34.37%,36.53%,38.07%,41.63%
BUF,39.89%,37.76%,38.73%,39.61%,42.69%
CAR,26.46%,28.00%,35.90%,41.78%,37.61%
CHI,32.75%,38.38%,33.36%,34.30%,34.54%
CIN,33.48%,33.97%,32.96%,33.40%,32.92%
CLE,40.37%,41.94%,37.37%,41.72%,37.12%
DAL,35.01%,33.47%,42.00%,37.51%,31.19%
DEN,40.38%,42.20%,38.72%,29.73%,34.42%
DET,33.11%,38.12%,32.45%,31.10%,33.90%
GB,34.16%,32.55%,35.27%,33.05%,36.13%
HOU,42.67%,43.03%,36.43%,35.73%,38.08%
IND,34.14%,35.44%,32.53%,34.00%,37.69%
JAX,27.45%,27.39%,38.10%,33.92%,37.74%
KC,34.02%,37.32%,35.33%,37.36%,36.59%
LV,38.43%,42.87%,33.88%,38.46%,37.72%
LAC,34.76%,35.98%,31.27%,37.44%,37.18%
LAR,34.84%,37.48%,39.87%,45.47%,39.83%
MIA,35.40%,35.46%,43.04%,38.28%,35.87%
MIN,41.23%,40.11%,32.34%,31.11%,30.53%
NE,33.68%,36.72%,32.19%,35.19%,33.64%
NO,29.69%,31.37%,28.54%,34.40%,36.00%
NYG,36.69%,37.78%,37.09%,31.84%,30.59%
NYJ,37.81%,37.20%,39.05%,36.87%,41.82%
PHI,39.03%,40.89%,43.13%,41.33%,40.29%
PIT,39.32%,39.15%,34.82%,35.28%,43.93%
SF,36.37%,38.99%,40.49%,40.63%,34.55%
SEA,36.19%,36.06%,32.11%,36.03%,36.32%
TB,36.42%,34.39%,33.98%,38.62%,43.21%
TEN,35.51%,37.31%,37.29%,36.90%,37.54%
Washington Commanders,36.82%,38.12%,37.02%,36.37%,41.51%
