Team,2024,2023,2022,2021,2020
GB,69.09%,67.16%,68.68%,65.10%,74.00%
CLE,67.60%,66.72%,69.98%,66.07%,71.00%
ARI,65.52%,63.34%,65.74%,69.23%,69.73%
PHI,69.91%,71.43%,68.55%,59.29%,67.76%
NO,61.58%,60.28%,65.24%,64.33%,67.63%
WAS,70.00%,69.25%,61.87%,57.03%,67.40%
BUF,69.46%,68.88%,68.71%,69.42%,66.96%
LAR,63.86%,63.39%,65.64%,63.45%,66.89%
BAL,72.15%,71.14%,71.71%,70.69%,66.64%
SEA,62.31%,59.59%,66.41%,57.78%,66.62%
IND,64.86%,60.92%,58.26%,65.44%,66.55%
HOU,62.32%,59.44%,64.07%,64.47%,66.42%
CHI,65.62%,67.16%,71.58%,68.34%,65.93%
KC,69.57%,71.38%,74.61%,65.11%,65.44%
TB,70.29%,65.80%,59.75%,58.68%,65.18%
NE,58.31%,57.69%,64.08%,63.03%,65.07%
LV,64.71%,59.86%,65.62%,63.71%,64.92%
ATL,64.64%,66.46%,65.89%,70.34%,64.27%
DET,67.94%,68.62%,65.39%,65.82%,64.20%
CAR,60.56%,60.64%,67.14%,69.00%,63.93%
MIN,70.91%,68.92%,62.25%,62.18%,63.34%
DEN,74.45%,75.06%,67.24%,67.04%,62.91%
JAX,63.74%,63.64%,58.01%,64.19%,62.63%
SF,65.62%,66.52%,64.95%,61.04%,62.49%
PIT,66.64%,65.37%,68.27%,58.79%,62.48%
DAL,63.43%,63.93%,62.78%,68.57%,62.36%
CIN,56.62%,58.99%,58.69%,67.51%,62.31%
TEN,62.89%,60.99%,62.77%,55.88%,61.19%
MIA,62.03%,65.46%,61.40%,65.87%,61.19%
NYG,61.43%,63.01%,61.00%,62.59%,59.54%
NYJ,61.11%,60.70%,61.70%,61.24%,59.37%
LAC,68.12%,65.40%,62.67%,63.94%,58.48%
