Team,2024,2023,2022,2021,2020
ARI,0.05,0.091,0.013,-0.062,0.032
ATL,0.042,-0.046,0.063,0.08,0.071
BAL,-0.016,-0.127,-0.002,0.078,-0.028
BUF,-0.004,-0.05,-0.045,-0.111,0.035
CAR,0.154,0.029,0.01,-0.031,0.087
CHI,0.002,-0.025,0.123,0.032,0.016
CIN,0.054,0.03,-0.043,-0.014,0.098
CLE,0.018,-0.155,0.029,0.019,0.081
DAL,0.069,-0.085,-0.087,-0.089,0.072
DEN,-0.1,0.02,-0.042,0.005,0.041
DET,-0.044,-0.008,0.084,0.102,0.205
GB,-0.066,0.009,0.031,0.02,0.026
HOU,-0.054,-0.033,0.01,0.077,0.168
IND,0.005,-0.014,-0.018,0,-0.009
JAX,0.131,-0.038,-0.02,0.111,0.167
KC,0.006,-0.076,-0.001,0.038,0.065
LAR,0.05,-0.013,0.015,-0.025,-0.164
LAC,-0.054,0.019,0.012,0.044,0.028
LV,0.016,-0.056,0.068,0.061,0.137
MIA,-0.023,-0.032,0.022,-0.027,-0.023
MIN,-0.091,-0.019,0.005,-0.004,0.095
NE,0.084,-0.059,-0.085,-0.063,0.075
NO,0.035,-0.084,-0.035,-0.101,-0.044
NYG,0.071,-0.007,0.046,0.028,0.036
NYJ,0.047,-0.11,-0.045,0.139,0.106
PHI,-0.087,0.058,-0.063,0.009,0.025
PIT,-0.019,-0.062,0.021,0.006,-0.106
SEA,-0.018,0.066,0.032,0.024,0.045
SF,0.054,-0.052,-0.112,0.004,-0.015
TB,0.017,-0.018,-0.026,-0.062,-0.037
TEN,0.05,0.034,0.015,-0.018,0.131
WAS,0.049,0.091,-0.059,0.08,-0.084
