Name,Team,Year,QBR,RTG
Lamar Jackson,BAL,2024,74.8,119.6
Josh Allen,BUF,2024,74.8,101.4
Joe Burrow,CIN,2024,72.1,108.5
Jayden Daniels,WSH,2024,67.7,100.1
Jordan Love,GB,2024,66.3,96.7
Jared Goff,DET,2024,65.4,111.8
Brock Purdy,SF,2024,64.8,96.1
Patrick Mahomes,KC,2024,64.6,93.5
Kyler Murray,ARI,2024,63.4,93.5
Jalen Hurts,PHI,2024,62.5,103.7
Justin Herbert,LAC,2024,61.7,101.7
Matthew Stafford,LAR,2024,61.5,93.7
Baker Mayfield,TB,2024,58.4,106.8
Sam Darnold,MIN,2024,57.3,102.5
Tua Tagovailoa,MIA,2024,57.1,101.4
Trevor Lawrence,JAX,2024,56.1,85.2
Drake Maye,NE,2024,55.2,88.1
Bo Nix,DEN,2024,53.5,93.3
Jameis Winston,CLE,2024,52.2,80.6
Bryce Young,CAR,2024,50.7,82.2
Geno Smith,SEA,2024,50.4,93.2
Russell Wilson,PIT,2024,47.9,95.6
Kirk Cousins,ATL,2024,47,88.6
C.J. Stroud,HOU,2024,46.4,87
Aaron Rodgers,NYJ,2024,44.7,90.5
Daniel Jones,NYG,2024,44.4,79.4
Anthony Richardson Sr.,IND,2024,44.1,61.6
Caleb Williams,CHI,2024,43.3,87.8
Dak Prescott,DAL,2024,41.9,86
Cooper Rush,DAL,2024,37.7,83.8
Gardner Minshew,LV,2024,35,81
Will Levis,TEN,2024,25.2,81.4
Brock Purdy,SF,2023,73.4,113
Dak Prescott,DAL,2023,73.4,105.9
Josh Allen,BUF,2023,70.3,92.2
Lamar Jackson,BAL,2023,65.4,102.7
Justin Herbert,LAC,2023,64.8,93.2
Matthew Stafford,LAR,2023,64.2,92.5
Kirk Cousins,MIN,2023,64,103.8
Patrick Mahomes,KC,2023,63.9,92.6
Jordan Love,GB,2023,62.9,96.1
Tua Tagovailoa,MIA,2023,61.5,101.1
Jared Goff,DET,2023,61.1,97.9
Jalen Hurts,PHI,2023,60.9,89.1
Gardner Minshew,IND,2023,60.4,84.6
Geno Smith,SEA,2023,60.3,92.1
C.J. Stroud,HOU,2023,58.3,100.8
Derek Carr,NO,2023,57.3,97.7
Trevor Lawrence,JAX,2023,56.9,88.5
Baker Mayfield,TB,2023,55.1,94.6
Joshua Dobbs,MIN,2023,52.7,79.5
Joe Burrow,CIN,2023,52.4,91
Russell Wilson,DEN,2023,51.5,98
Kyler Murray,ARI,2023,48,89.4
Justin Fields,CHI,2023,46.9,86.3
Sam Howell,WSH,2023,43.2,78.9
Aidan O'Connell,LV,2023,41.3,83.9
Desmond Ridder,ATL,2023,40.8,83.4
Kenny Pickett,PIT,2023,38.9,81.4
Mac Jones,NE,2023,37.5,77
Bryce Young,CAR,2023,34.1,73.7
Zach Wilson,NYJ,2023,31.3,77.2
Patrick Mahomes,KC,2022,79,105.2
Josh Allen,BUF,2022,73.4,96.6
Tua Tagovailoa,MIA,2022,70.6,105.5
Jalen Hurts,PHI,2022,68.3,101.5
Jared Goff,DET,2022,63.3,99.3
Geno Smith,SEA,2022,62.8,100.9
Jacoby Brissett,CLE,2022,62,88.9
Lamar Jackson,BAL,2022,61.1,91.1
Joe Burrow,CIN,2022,60.8,100.8
Justin Herbert,LAC,2022,60.2,93.2
