Team,2024,2023,2022,2021,2020
WAS,54.16,41.2,53.69,46.65,45.5
TEN,46.68,49.13,48.92,53.72,52.04
TB,53.17,49.33,42.85,53.65,55.88
SF,67.07,49.53,67.04,64.58,57.28
SEA,51.43,77.22,65.06,61.3,52.82
PIT,50.4,61.94,67.5,49.21,47.11
PHI,62.19,66.62,63.93,55.46,45.08
NYJ,42.4,45.31,51.72,49.01,40.64
NYG,49.63,51.67,59.14,36.7,39.21
NO,54.93,46.53,62.74,52.52,58.38
NE,50.02,35.41,49.87,62.01,54.51
MIN,54.98,53.2,60.42,61.23,67.19
MIA,51.84,50.13,54.76,40.05,44.67
LV,42.61,47.21,58.06,54.21,55.97
LAR,42.17,53.59,44.37,58.37,42.93
LAC,50.11,57.14,59.74,51.66,54.7
KC,38.36,49.73,48.59,54.2,46.03
JAX,44.2,48.83,44.51,45.35,43.13
IND,59.87,49.3,47.8,45.55,58.85
HOU,45.74,58.45,49.02,45.16,59.56
GB,56.27,58.44,46.31,60.18,46.45
DET,60.66,51.75,51.25,61.52,42.39
DEN,50.9,52.54,55.05,57.84,50.48
DAL,46.28,56.63,52.02,63.24,55.59
CLE,40.74,47.59,56.79,46.22,41.68
CIN,52.09,53.42,65.4,61.95,47.15
CHI,51.32,62.91,48.22,41.63,47.79
CAR,41.49,43.39,46.19,35.66,64.38
BUF,42.78,50.68,53.88,62.52,56.38
BAL,62.95,60.01,53.64,60.61,50.89
ATL,56.01,49.86,55.03,47.89,54.88
ARI,49.14,48.1,45.06,53.23,
